"Registration Authority Code","Country","Country Code","Jurisdiction (country or region)","International name of Register","Local name of Register","International name of organisation responsible for the Register","Local name of organisation responsible for the Register","Website","Comments"
"RA777777","","","","","","","","","to be used for 'Public Legal Documents' for General Government Entities and International Organizations for which no information is available in any regular RA source"
"RA888888","","","","","","","","","temporary code; new registration authority code requested"
"RA999999","","","","","","","","","no registration authority available for this legal entity"
"RA000001","Afghanistan","AF","Afghanistan","Afghanistan Central Business Registry (Ministry of Commerce and Industries)","","Afghanistan Central Business Registry (Ministry of Commerce and Industries)","","http://www.acbr.gov.af/",""
"RA000759","Afghanistan","AF","Afghanistan","Register of Licensed Financial Institutions","","Da Afghanistan Bank","","https://dab.gov.af/index.php/Licensed-Finacial-Institutions","to be used for banks and some other licensed financial institutions"
"RA000002","Albania","AL","Albania","","","National Registration Center","Qendra Kombetare e Regjistrimit","http://www.qkr.gov.al/home/",""
"RA000793","Albania","AL","Albania","","","Albanian Financial Supervisory Authority (AFSA)","Autoriteti i Mbikëqyrjes Financiare (AMF)","https://amf.gov.al/","to be used as a Validation Authority for funds"
"RA000003","Algeria","DZ","Algeria","Trade Register","Registre du Commerce","National Center of the Trade Register","Centre National du Registre du Commerce (CNRC)","https://sidjilcom.cnrc.dz/web/cnrc/accueil",""
"RA000794","Algeria","DZ","Algeria","","","Commission d'Organisation et de Surveillance des Opérations de Bourse (COSOB)","Tasqamut n Usuddes d Toessast n Temhilin n Tbursa","https://www.cosob.org/","to be used as a Validation Authority for funds"
"RA000795","Algeria","DZ","Algeria","","","Bank of Algeria","Banque d'Algérie","https://www.bank-of-algeria.dz/","to be used as a Validation Authority for funds"
"RA000004","Andorra","AD","Andorra","Register of Commerce","Registre de Societats Mercantils","","","http://www.comerc.ad/la-unitat-comerc",""
"RA000661","Andorra","AD","Andorra","Official AFA Register","Registres oficials de l'AFA","Andorran Financial Authority","Autoritat Financera Andorrana","www.afa.ad","new name of organisation and new website address"
"RA000005","Angola","AO","Angola","Central Registry of Business Names","Ficheiro Central de Denominações Sociais","","","http://www.cidadao.gov.ao/VerPrestadorServico.aspx?id=233",""
"RA000797","Angola","AO","Angola","","","","Comissão do Mercado de Capitais (CMC)","https://www.cmc.gv.ao/sites/main/pt/Paginas/Home.aspx","to be used as a Validation Authority for funds"
"RA000798","Angola","AO","Angola","","","National Bank of Angola","Banco Nacional de Angola","https://www.bna.ao/#/","to be used as a Validation Authority for funds"
"RA000006","Anguilla","AI","Anguilla","Commercial Registry","Commercial Registry","Anguilla Commercial Registry","Anguilla Commercial Registry","http://www.commercialregistry.ai/",""
"RA000799","Anguilla","AI","Anguilla","","","Anguilla Financial Services Commission","Anguilla Financial Services Commission","http://www.fsc.org.ai/","to be used as a Validation Authority for funds"
"RA000007","Antigua and Barbuda","AG","Antigua and Barbuda","","","Intellectual Property and Commerce Office","Intellectual Property and Commerce Office","http://www.legalaffairs.gov.ag/detail_page.php?page=coming_soon.php",""
"RA000008","Antigua and Barbuda","AG","Antigua and Barbuda","","","Financial Services Regulatory Commission","Financial Services Regulatory Commission","http://www.fsrc.gov.ag/",""
"RA000009","Argentina","AR","Argentina","","","Federal Administration of Public Revenues (AFIP)","Administración Federal de Ingresos Públicos (AFIP)","http://www.afip.gob.ar/sitio/externos/",""
"RA000010","Argentina","AR","Argentina","","Registro Nacional de Sociedades","","Ministerio de Justicia y Derechos Humanos (Dirección del Registro Nacional de Sociedades)","https://www.argentina.gob.ar/justicia/registro-nacional-sociedades",""
"RA000800","Argentina","AR","Argentina","","","","Comisión Nacional de Valores; Ministerio de Economía","https://www.argentina.gob.ar/cnv","to be used as a Validation Authority for funds"
"RA000011","Armenia","AM","Armenia","State Register of Legal Entities","Հայաստանի Հանրապետության արդարադատության նախարարության իրավաբանական անձանց պետական ռեգիստրի","Ministry of Justice of the Republic of Armenia","","https://www.e-register.am/",""
"RA000801","Armenia","AM","Armenia","","","Central Bank of Armenia","Հայաստանի Կենտրոնական Բանկ","https://www.cba.am","to be used as a Validation Authority for funds"
"RA000012","Aruba","AW","Aruba","Trade Register","Handelsregister","Chamber of Commerce and Industry Aruba","Kamer van Koophandel en Nijverheid Aruba","http://www.arubachamber.com/",""
"RA000802","Aruba","AW","Aruba","","","Central Bank of Aruba (CBA)","Centrale Bank van Aruba (CBA)","https://www.cbaruba.org/","to be used as a Validation Authority for funds"
"RA000013","Australia","AU","Australia","Australian Business Register","Australian Business Register","Australian Business Register of the Australian Taxation Office","Australian Business Register of the Australian Taxation Office","http://abr.business.gov.au/",""
"RA000014","Australia","AU","Australia","Register of Companies","Register of Companies","The Australian Securities and Investment Commission","The Australian Securities and Investment Commission (ASIC)","www.asic.gov.au",""
"RA000015","Australia","AU","Australia","Register of Financial Services Licensees","Register of Financial Services Licensees","The Australian Securities and Investment Commission","The Australian Securities and Investment Commission (ASIC)","www.asic.gov.au",""
"RA000016","Australia","AU","Australia","Register of Indigenous Corporations","Register of Indigenous Corporations","Office of the Registrar of Indigenous Corporations (ORIC)","Office of the Registrar of Indigenous Corporations (ORIC)","http://www.oric.gov.au/",""
"RA000714","Australia","AU","Australia","Registrable Superannuation Entities (RSE) Register","Registrable Superannuation Entities (RSE) Register","Australian Prudential Regulation Authority (APRA)","Australian Prudential Regulation Authority (APRA)","https://www.apra.gov.au/register-superannuation","To be used for Registrable Superannuation Entities (RSE)"
"RA000762","Australia","AU","Australia","Super Fund Lookup","Super Fund Lookup","Australian Taxation Office","Australian Taxation Office","https://superfundlookup.gov.au/","to be used for super funds"
"RA000017","Austria","AT","Austria","Commercial Register","Firmenbuch","Federal Ministry of Justice","Bundesministerium für Justiz","https://www.justiz.gv.at/web2013/html/default/2c9484852308c2a601240b693e1c0860.de.html",""
"RA000018","Austria","AT","Austria","","","Financial Market Authority","Finanzmarktaufsicht","https://www.fma.gv.at/en/",""
"RA000687","Austria","AT","Austria","Trade Information System Austria","GewerbeInformationsSystem Austria (GISA)","Federal Ministry for Digitization and Business Location","Bundesministerium für Digitalisierung und Wirtschaftsstandort","https://www.wien.gv.at/english/e-government/business/register/public-query-gisa.html",""
"RA000707","Austria","AT","Austria","Supplementary Register","Ergänzungsregister für sonstige Betroffene (ErSB)","Federal Ministry Digital and Economic Affairs","Bundesministerium Digitalisierung und Wirtschaftsstandort","https://www.bmdw.gv.at/DigitalisierungundEGovernment/Stammzahlenregisterbehoerde/Ergaenzungsregister/Seiten/Ergaenzungsregister-fuer-sonstige-Betroffene-.aspx","at least temporarily not available for public consultation"
"RA000710","Austria","AT","Austria","Register of Associations","Zentralen Vereinsregister (ZVR)","Ministry of the Interior","Bundesministerium für Inneres","https://citizen.bmi.gv.at/at.gv.bmi.fnsweb-p/zvn/public/Registerauszug","To be used for associations"
"RA000725","Austria","AT","Austria","Parishes","Pfarrgemeinden","Evangelical Church of Austria","Evangelische Kirche in Österreich","https://evang.at/service/adressen/pfarrgemeinden/a-bis-z/","to be used for parishes"
"RA000734","Austria","AT","Austria","Funds register","Bundes-Fondsregister","Federal Ministry of the Interior","Bundesministerium Inneres","https://www.bmi.gv.at/409/start.aspx","to be used for funds"
"RA000019","Azerbaijan","AZ","Azerbaijan","State Register of Commercial Entities","Kommersiya qurumlarının dövlət reyestri","Ministry of Taxes of the Republic of Azerbaijan","","www.taxes.gov.az",""
"RA000804","Azerbaijan","AZ","Azerbaijan","","","The Central Bank of the Republic of Azerbaijan","Azərbaycan Respublikasının Mərkəzi Bankı","https://www.cbar.az/home?language=en","to be used as a Validation Authority for funds"
"RA000020","Bahamas","BS","Bahamas","Companies Register","Companies Register","Registrar General Department of the Bahamas","Registrar General Department of the Bahamas","www.bahamas.gov.bs",""
"RA000805","Bahamas","BS","Bahamas","","","Securities Commission of the Bahamas","Securities Commission of the Bahamas","https://www.scb.gov.bs/","to be used as a Validation Authority for funds"
"RA000806","Bahamas","BS","Bahamas","","","Central Bank of The Bahamas","Central Bank of The Bahamas","https://www.centralbankbahamas.com/","to be used as a Validation Authority for funds"
"RA000021","Bahrain","BH","Bahrain","Commercial Registration","","Bahrain Ministry Of Industry And Commerce","وزارة الصناعة والتجارة","https://www.business.gov.bh/",""
"RA000807","Bahrain","BH","Bahrain","Register of Collective Investment Undertakings","","Central Bank of Bahrain","مصرف البحرين المركزي","https://www.cbb.gov.bh/collective-investment-undertakings/","to be used as a Validation Authority for funds"
"RA000022","Bangladesh","BD","Bangladesh","Companies Register","","Office of the Registrar of Joint Stock Companies and Firms","","www.roc.gov.bd",""
"RA000808","Bangladesh","BD","Bangladesh","","","Bangladesh Securities and Exchange Commission","বাংলাদেশ সিকিউরিটিজ অ্যান্ড এক্সচেঞ্জ কমিশন","https://www.sec.gov.bd/","to be used as a Validation Authority for funds"
"RA000023","Barbados","BB","Barbados","","","Corporate Affairs and Intellectual Property Office","Corporate Affairs and Intellectual Property Office","http://www.caipo.gov.bb/site/index.php",""
"RA000809","Barbados","BB","Barbados","","","Financial Services Commission","Financial Services Commission","http://www.fsc.gov.bb/index.php/en/","to be used as a Validation Authority for funds"
"RA000024","Belarus","BY","Belarus","United State Register of Legal Entities and Individual Entrepreneurs","Единый государственный регистр юридических лиц и индивидуальных предпринимателей","Ministry of Justice of the Republic of Belarus","","http://egr.gov.by/egrn/index.jsp?language=en",""
"RA000810","Belarus","BY","Belarus","","","National Bank of the Republic of Belarus","Нацыянальны банк Рэспублікі Беларусь","https://www.nbrb.by/","to be used as a Validation Authority for funds"
"RA000811","Belarus","BY","Belarus","","","Securities Department, Ministry of Finance of the Republic of Belarus","","http://www.minfin.gov.by","to be used as a Validation Authority for funds"
"RA000025","Belgium","BE","Belgium","Crossroad Bank of Enterprises","in Dutch: Kruispuntbank van Ondernemingen; in French: Banque-Carrefour des  Entreprises; in German: Zentrale Unternehmensdatenbank","Federal Public Service Economy (Ministry of Economy)","Federale Overheidsdienst Economie / Service Public Fédéral Economie","http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?lang=en",""
"RA000812","Belgium","BE","Belgium","Data portal","Data portal","Financial Services and Markets Authority","in Dutch: Autoriteit voor Financiële Diensten en Markten; in French: Autorité des Services et Marchés Financiers","https://www.fsma.be/en/data-portal","to be used as a Validation Authority for funds"
"RA000026","Belize","BZ","Belize","Belize Company Registry","Registro Mercantil de Belice","Belize Companies & Corporate Affairs Registry","Las Empresas de Belice y el Registro de los Asuntos Corporativos","http://belizecompaniesregistry.gov.bz/",""
"RA000693","Belize","BZ","Belize","International Business Companies Registry","International Business Companies Registry","International Business Companies Registry of Belize","International Business Companies Registry of Belize","http://www.ibcbelize.com/","Only to be used for the legal forms International Business Companies established under the International Business Companies Act and International Limited Liability Companies established under the International Limited Liability Companies Act, 2011"
"RA000813","Belize","BZ","Belize","","","International Financial Services Commission","International Financial Services Commission","https://www.ifsc.gov.bz/","to be used as a Validation Authority for funds"
"RA000027","Benin","BJ","Benin","","","Chamber of Commerce and Industry of Benin","La Chambre de Commerce et d’Industrie du Bénin (CCIB)","http://www.ccibenin.org/",""
"RA000814","Benin","BJ","Benin","","","Central Bank of West African States (BCEAO)","Banque Central des Etats de l'Afrique de l'Ouest (BCEAO)","https://www.bceao.int/index.php/en","to be used as a Validation Authority for funds"
"RA000028","Bermuda","BM","Bermuda","Companies Register","Companies Register","Registrar of Companies (Ministry of Economic Development)","Registrar of Companies (Ministry of Economic Development)","http://www.roc.gov.bm/",""
"RA000029","Bermuda","BM","Bermuda","","","Bermuda Monetary Authority","Bermuda Monetary Authority","http://www.bma.bm/investment/investment%20funds/SitePages/Authorised%20Funds.aspx",""
"RA000030","Bhutan","BT","Bhutan","Company Registry","","Company Registry Division, Department of Industry, Ministry of Economic Affairs","","https://www.cra.gov.bt/",""
"RA000815","Bhutan","BT","Bhutan","","","Royal Monetary Authority of Bhutan","༄༅ །། རྒྱལ་གཞུང་དངུལ་ལས་དབང་འཛིན།།","http://www.rma.org.bt/","to be used as a Validation Authority for funds"
"RA000031","Bolivia","BO","Bolivia","Bolivian Commerce Register","Registro de Comercio de Bolivia","Fundempresa - Concesionaria del Registro de Comercio de Bolivia","","http://www.fundempresa.org.bo/directorio/index.php",""
"RA000816","Bolivia","BO","Bolivia","","","","Superintendencia de Valores","https://www2.bbv.com.bo/","to be used as a Validation Authority for funds"
"RA000817","Bolivia","BO","Bolivia","","","","Autoridad de Supervisión del Sistema Financiero","https://www.asfi.gob.bo/","to be used as a Validation Authority for funds"
"RA000032","Bonaire, Sint Eustatius and Saba","BQ","Bonaire","Trade Register","Handelsregister","Chamber of Commerce and Industry Bonaire","Kamer van Koophandel en Nijverheid Bonaire","www.bonairechamber.com",""
"RA000033","Bonaire, Sint Eustatius and Saba","BQ","Sint Eustatius and Saba","Trade Register","Handelsregister","Chamber of Commerce and Industry Sint Eustatius and Saba","Kamer van Koophandel en Nijverheid Sint Eustatius en Saba","www.statiasabachamber.com",""
"RA000034","Bosnia and Herzegovina","BA","Bosnia and Herzegovina","Registers of Business Entities in Bosnia and Herzegovina","Registri poslovnih subjekata u Bosni i Hercegovini","Local Courts","","http://bizreg.pravosudje.ba/",""
